大众 高尔夫 2010款 1.4TSI 自动舒适型,5.30万,8.3万公里,1.4T,自动
现代ix35 2010款 2.0L 自动四驱尊贵版GLS,6.58万,9.6万公里,2.0L,自动
斯柯达Yeti 2016款 1.4TSI 手动前行版,6.70万,4.1万公里,1.4T,手动
Jeep 指南者 2013款 2.0L 两驱运动版(进口),8.18万,7.5万公里,2.0L,自动
大众 途观 2010款 2.0TSI 自动四驱菁英版,8.70万,6.54万公里,2.0T,自动
大众 帕萨特 2013款 1.8TSI DSG政府采购版,8.50万,8.9万公里,1.8T,自动
雪铁龙 C4世嘉 2016款 1.6L 手动舒适型,5.18万,4.88万公里,1.6L,手动
福特 嘉年华 2011款 三厢 1.5L 手动时尚型,1.98万,8.9万公里,1.5L,手动
雪佛兰 乐风 2010款 1.6AT格调版,2.28万,9.95万公里,1.6L,自动
大众 速腾 2014款 改款 1.4TSI 手动豪华型,6.70万,5.2万公里,1.4T,手动
起亚 智跑 2011款 2.0L 自动两驱版GLS,6.10万,9.63万公里,2.0L,自动
宝马3系 2009款 320i 豪华型,6.68万,12.54万公里,2.0L,自动
大众 迈腾 2012款 改款 1.8TSI 领先型,8.00万,15.1万公里,1.8T,自动
起亚KX5 2016款 1.6T 自动两驱DLX,9.98万,7.52万公里,1.6T,自动
现代 全新胜达 2013款 2.4L 自动两驱智能型,9.20万,7万公里,2.4L,自动
雪铁龙 世嘉 2012款 三厢 2.0L 自动品悦型,3.88万,8.84万公里,2.0L,自动
奥迪A6L 2012款 30 FSI 技术型,16.69万,16.11万公里,2.5L,自动
现代ix35 2012款 2.0L 自动两驱新锐版GL,5.99万,8万公里,2.0L,自动
大众 宝来 2012款 1.6L 自动时尚型,4.78万,11.8万公里,1.6L,自动
奔腾X80 2013款 2.0L 自动舒适型,4.49万,10万公里,2.0L,自动
别克 君越 2013款 2.4L SIDI领先舒适型,10.98万,4.5万公里,2.4L,自动
日产 轩逸 2012款 1.6XL CVT豪华版,6.20万,11万公里,1.6L,自动
现代 瑞纳 2014款 1.4L 自动智能型GLS,4.18万,6.7万公里,1.4L,自动
斯柯达 昕锐 2013款 1.6L 自动优选型,5.00万,5.59万公里,1.6L,自动
福特 福克斯 2011款 两厢 1.8L 自动时尚型,3.80万,9万公里,1.8L,自动
Jeep 自由光 2016款 2.4L 优越版,13.50万,4.92万公里,2.4L,自动
长安 逸动 2016款 1.6L 自动俊酷型,5.75万,3万公里,1.6L,自动
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,4.98万,8.58万公里,1.5T,手动
本田 飞度 2018款 1.5L CVT舒适天窗版,7.88万,2万公里,1.5L,自动
宝马3系 2010款 320i 时尚型,7.53万,9.28万公里,2.0L,自动
斯柯达Yeti 2016款 1.4TSI DSG前行版,6.98万,9.42万公里,1.4T,自动
宝马X3 2013款 改款 xDrive20i 豪华型(进口),20.38万,7万公里,2.0T,自动
奥迪Q5 2013款 40 TFSI 进取型,17.99万,10.99万公里,2.0T,自动
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.98万,3.37万公里,1.6L,自动
起亚K2 2017款 三厢 1.4L MT 15周年特别版GLS,5.11万,2.01万公里,1.4L,手动
宝马1系 2008款 120i 自动挡(进口),5.60万,6万公里,2.0L,自动
本田 飞度 2018款 1.5L CVT舒适天窗版,7.88万,3.5万公里,1.5L,自动
雷克萨斯ES 2015款 200 精英版,27.50万,2万公里,2.0L,自动
福特 福克斯 2012款 三厢 1.6L 自动风尚型,5.90万,6.3万公里,1.6L,自动
奔驰GLK级 2014款 GLK 260 4MATIC 动感型,20.40万,8.92万公里,2.0T,自动
传祺GS4 2016款 235T 手动豪华版,5.58万,4.78万公里,1.5T,手动
雪佛兰 科鲁兹 2013款 1.6L SE MT,2.98万,14.85万公里,1.6L,手动
宝马1系 2012款 116i 都市型(进口),10.98万,5.6万公里,1.6T,自动
奔驰E级 2011款 E 300 L 优雅型,11.80万,10.99万公里,3.0L,自动
宝马5系 2012款 523Li 领先型,16.90万,15万公里,2.5L,自动
大众 途观 2015款 1.8TSI 自动两驱舒适版,10.88万,9.15万公里,1.8T,自动
丰田 卡罗拉 2008款 1.8L 自动GL-i天窗特别版,5.30万,8万公里,1.8L,自动
别克 君越 2013款 2.4L SIDI领先舒适型,10.30万,3.62万公里,2.4L,自动
大众 途观 2015款 1.8TSI 自动两驱豪华型,11.60万,8.24万公里,1.8T,自动
雪铁龙C4L 2014款 1.8L 智驱版 自动劲智型,5.38万,8万公里,1.8L,自动
别克 昂科威 2014款 28T 四驱精英型,12.30万,8.23万公里,2.0T,自动
丰田 卡罗拉 2014款 1.6L CVT GL-i,8.38万,3.6万公里,1.6L,自动
东南 V3菱悦 2009款 1.5L 手动旗舰升级版,1.58万,11.61万公里,1.5L,手动
奔驰GLK级 2013款 GLK 300 4MATIC 动感型,15.68万,19.8万公里,3.0L,自动
福特 蒙迪欧-致胜 2011款 2.3L 豪华型,4.40万,10.87万公里,2.3L,自动
本田 思域 2009款 1.8L 自动豪华版,5.20万,10.5万公里,1.8L,自动
沃尔沃S60L 2016款 T4 智远版,12.98万,7.36万公里,2.0T,自动
大众 高尔夫 2015款 1.6L 自动舒适型,7.98万,3.76万公里,1.6L,自动
比亚迪 秦 2015款 1.5T 双冠旗舰Plus版,7.19万,6.39万公里,1.5T,自动
大众POLO 2007款 1.6L Cross POLO AT,3.20万,15.3万公里,1.6L,自动
大众 桑塔纳 2016款 1.4L 手动风尚版,4.66万,1.58万公里,1.4L,手动
本田 锋范经典 2012款 1.5L 自动精英版,6.38万,4.05万公里,1.5L,自动
奔驰C级 2011款 C 200 CGI 优雅型,10.28万,10.21万公里,1.8T,自动
本田 雅阁 2013款 2.0L SE,8.80万,10.03万公里,2.0L,自动
奔驰B级 2013款 B 260(进口),13.80万,12万公里,2.0T,自动
奔驰E级 2011款 E 200 L CGI优雅型,11.90万,12万公里,1.8T,自动
奥迪A3 2010款 Sportback 1.4T 豪华型(进口),8.30万,11万公里,1.4T,自动
别克GL8 2014款 2.4L 经典版,8.98万,9.9万公里,2.4L,自动
